time_iso8601,stars_cumulative
2024-09-17 00:00:00+00:00,560
2024-10-01 00:00:00+00:00,561
2024-10-12 00:00:00+00:00,562
2024-10-23 00:00:00+00:00,563
2024-11-05 00:00:00+00:00,564
2024-11-09 00:00:00+00:00,565
2024-11-14 00:00:00+00:00,566
2024-11-19 00:00:00+00:00,567
2024-11-24 00:00:00+00:00,568
2024-11-30 00:00:00+00:00,569
2024-12-01 00:00:00+00:00,570
2024-12-05 00:00:00+00:00,571
2024-12-07 00:00:00+00:00,573
2024-12-09 00:00:00+00:00,574
2024-12-10 00:00:00+00:00,575
2024-12-11 00:00:00+00:00,576
2024-12-14 00:00:00+00:00,578
2024-12-20 00:00:00+00:00,579
2024-12-25 00:00:00+00:00,580
2024-12-28 00:00:00+00:00,581
2024-12-31 00:00:00+00:00,583
2025-01-01 00:00:00+00:00,585
2025-01-02 00:00:00+00:00,586
2025-01-10 00:00:00+00:00,587
2025-01-12 00:00:00+00:00,588
2025-01-18 00:00:00+00:00,589
2025-01-19 00:00:00+00:00,590
2025-01-20 00:00:00+00:00,592
2025-01-23 00:00:00+00:00,593
2025-01-24 00:00:00+00:00,594
2025-01-31 00:00:00+00:00,595
2025-02-12 00:00:00+00:00,596
2025-02-16 00:00:00+00:00,597
2025-02-17 00:00:00+00:00,598
2025-02-19 00:00:00+00:00,599
2025-02-27 00:00:00+00:00,600
2025-03-01 00:00:00+00:00,602
2025-03-02 00:00:00+00:00,603
2025-03-05 00:00:00+00:00,604
2025-03-14 00:00:00+00:00,605
2025-03-16 00:00:00+00:00,606
2025-03-25 00:00:00+00:00,607
2025-03-29 00:00:00+00:00,609
2025-04-04 00:00:00+00:00,610
2025-04-05 00:00:00+00:00,611
2025-04-06 00:00:00+00:00,612
2025-04-09 00:00:00+00:00,614
2025-04-11 00:00:00+00:00,615
2025-04-19 00:00:00+00:00,616
2025-04-20 00:00:00+00:00,617
