time_iso8601,stars_cumulative
2023-03-11 00:00:00+00:00,482
2023-03-15 00:00:00+00:00,483
2023-03-17 00:00:00+00:00,485
2023-03-20 00:00:00+00:00,486
2023-03-21 00:00:00+00:00,489
2023-03-22 00:00:00+00:00,490
2023-03-25 00:00:00+00:00,493
2023-03-26 00:00:00+00:00,514
2023-03-27 00:00:00+00:00,529
2023-03-28 00:00:00+00:00,538
2023-03-29 00:00:00+00:00,543
2023-03-30 00:00:00+00:00,549
2023-03-31 00:00:00+00:00,553
2023-04-01 00:00:00+00:00,557
2023-04-02 00:00:00+00:00,575
2023-04-03 00:00:00+00:00,582
2023-04-04 00:00:00+00:00,584
2023-04-05 00:00:00+00:00,587
2023-04-07 00:00:00+00:00,588
2023-04-09 00:00:00+00:00,590
2023-04-10 00:00:00+00:00,594
2023-04-13 00:00:00+00:00,599
2023-04-14 00:00:00+00:00,601
2023-04-15 00:00:00+00:00,608
2023-04-16 00:00:00+00:00,611
2023-04-17 00:00:00+00:00,612
2023-04-18 00:00:00+00:00,614
2023-04-19 00:00:00+00:00,616
2023-04-20 00:00:00+00:00,619
2023-04-21 00:00:00+00:00,622
2023-04-22 00:00:00+00:00,626
2023-04-23 00:00:00+00:00,628
2023-04-24 00:00:00+00:00,629
2023-04-27 00:00:00+00:00,633
2023-04-28 00:00:00+00:00,635
2023-04-29 00:00:00+00:00,637
2023-04-30 00:00:00+00:00,638
2023-05-01 00:00:00+00:00,639
2023-05-02 00:00:00+00:00,641
2023-05-03 00:00:00+00:00,645
2023-05-04 00:00:00+00:00,646
2023-05-05 00:00:00+00:00,648
2023-05-06 00:00:00+00:00,649
2023-05-07 00:00:00+00:00,652
2023-05-08 00:00:00+00:00,655
2023-05-09 00:00:00+00:00,657
2023-05-10 00:00:00+00:00,660
2023-05-11 00:00:00+00:00,662
2023-05-12 00:00:00+00:00,664
2023-05-13 00:00:00+00:00,665
2023-05-14 00:00:00+00:00,666
2023-05-16 00:00:00+00:00,668
2023-05-17 00:00:00+00:00,669
2023-05-18 00:00:00+00:00,673
2023-05-19 00:00:00+00:00,677
2023-05-20 00:00:00+00:00,678
